# $Id: cluslex.dat 22202 2013-12-04 10:48:45Z sean.kuhnberger $ -*- coding: cp1252-unix -*-

# Consonant and vowel cluster lexcion for analysis of unknown stems
# =================================================================

# the clusters contain the archi-phonemes C.", CH" and HH"
# which are later-on converted to k."/ts" and ch"/X." and
# to vowels including glottal stops by the segmental phonetic 
# two-level rules 


#####################################
# Clusters for German stem analysis #
#####################################

fsnucl æ ^ae"
fsnucl è ^e."
fsnucl é ^e."
fsnucl ê ^e."
fsnucl ë ^e."
fsnucl ì ^i."
fsnucl í ^i."
fsnucl î ^i."
fsnucl ï ^i."
fsnucl ò ^o."
fsnucl ó ^o."
fsnucl ô ^o."
fsnucl õ ^o."
fsnucl ö ^oe"
fsnucl ø ^oe"
fsnucl ù ^u."
fsnucl ú ^u."
fsnucl û ^u."
fsnucl ü ^y."
fsnucl ý ^y."
fsnucl ÿ ^y."
fsnucl a ^a."
fsnucl au ^AU"
fsnucl ay ^E."j."
fsnucl e ^e."
fsnucl eau ^o."
fsnucl eu ^OY"
fsnucl ey ^E."j."
fsnucl i ^i."
fsnucl ia TS"j."^a."
fsnucl ie TS"j."^e."
fsnucl o ^o."
fsnucl oa w."^a."
fsnucl oi w."^a."
fsnucl oin w."^en"
fsnucl ou ^u."
fsnucl oua u."^a."
fsnucl u ^u."
fsnucl ua w."^a."
fsnucl y ^y."


# ficc: foreign-stem initial consonants
# which are not yet included in fsyi

ficc % -HH" 5 # <glottal stop>
ficc bl -b."l." # blasphemie
ficc cr -k."r." # credo
ficc kl -k."l." # klinik
ficc phr -f."r." # phrase
ficc phth -f."t." # phthalein
ficc pt -p."t." # ptolemaeus
ficc sc -s."C." # scandium
ficc skl -s."k."l." # sklerose
ficc sp -sh"p." # spagat
ficc sph -s."f." # sphäre
ficc st -sh"t." # stabil
ficc str -sh"t."r." # struktur
ficc sz -s."ts" # szene
ficc wh -w." # whirlpool
ficc x -k."s." # xenon


# fsyi: syllable-initial consonants 
# (do not close preceding syllable)

fsyi š sh"
fsyi ž jj"
fsyi ç s."
fsyi ð z."
fsyi ñ n."j."
fsyi þ s."
fsyi b b."
fsyi bl b."l."
fsyi br b."r." # mem-bran
fsyi c C."
fsyi ch CH"
fsyi d d."
fsyi dr d."r." # a-drenalin
fsyi f f."
fsyi fl f."l." # in-fluenza
fsyi g g." 
fsyi gh g." # spaghetti
fsyi gl g."l." # tri-glyzerid
fsyi gn g."n." # si-gnal
fsyi gr g."r." # typo-graph
fsyi h h."
fsyi j j."
fsyi k k."
fsyi kr k."r." # demo-kratie
fsyi l l."
fsyi m m."
fsyi n n."
fsyi p p."
fsyi ph f."
fsyi phr f."r." # aphrodite
fsyi pl p."l."
fsyi pr p."r." # re-pression
fsyi ps p."s."
fsyi qu k."v."
fsyi r r."
fsyi rh r."
fsyi s z."
fsyi sk s."k."
fsyi sl s."l."
fsyi t t."
fsyi t t."
fsyi th t." # a-theismus
fsyi thr t."r." 
fsyi tr t."r." # zi-trone
fsyi v v."
fsyi w v." 
fsyi y j." # ayatollah
fsyi z ts"

# fsyf: syllable-final consonants (closed syllables)

fsyf b b." # ab-solut, ab-norm
fsyf d d." # ad-ministration
fsyf g g." # mag-ma
fsyf k k." # ak-zeptanz
fsyf l l." # al-bumin
